filename,author_id,sentence,emotion,intensity_level,sample_rate,audio_data
1022_ITS_ANG_XX.wav,1022,ITS,ANG,XX,16000,[  8 -41 -83 ...   0   0   0]
1037_ITS_ANG_XX.wav,1037,ITS,ANG,XX,16000,[ 4  3 21 ...  0 -3  0]
1060_ITS_NEU_XX.wav,1060,ITS,NEU,XX,16000,[ 77 102 107 ...   0   0   0]
1075_ITS_NEU_XX.wav,1075,ITS,NEU,XX,16000,[ -76  -71 -131 ...    0    0    0]
1073_IOM_DIS_XX.wav,1073,IOM,DIS,XX,16000,[-170 -192 -242 ...    2    3    0]
1066_IOM_DIS_XX.wav,1066,IOM,DIS,XX,16000,[41 27 38 ... -5 -4 -4]
1078_IWL_SAD_XX.wav,1078,IWL,SAD,XX,16000,[ -54  -68 -102 ...    0    0    0]
1029_TAI_FEA_XX.wav,1029,TAI,FEA,XX,16000,[-12 -30 -33 ...   0   0   0]
1039_IEO_SAD_MD.wav,1039,IEO,SAD,MD,16000,[-142  -99 -115 ...    0    0    0]
1008_TAI_HAP_XX.wav,1008,TAI,HAP,XX,16000,[181 198 166 ...   0   0   0]
1018_TSI_FEA_XX.wav,1018,TSI,FEA,XX,16000,[14 11 16 ...  1  1  0]
1028_IEO_SAD_HI.wav,1028,IEO,SAD,HI,16000,[-382 -362 -371 ...    0    0    0]
1039_TSI_HAP_XX.wav,1039,TSI,HAP,XX,16000,[-15 -25 -16 ...  -1  -1  -1]
1064_ITS_HAP_XX.wav,1064,ITS,HAP,XX,16000,[-108 -105 -128 ...    4    3    5]
1071_ITS_HAP_XX.wav,1071,ITS,HAP,XX,16000,[0 0 0 ... 0 0 0]
1045_ITS_FEA_XX.wav,1045,ITS,FEA,XX,16000,[293 276 322 ...   0   0   0]
1050_ITS_FEA_XX.wav,1050,ITS,FEA,XX,16000,[-22  -9  13 ...   2   1  -4]
1018_IWL_ANG_XX.wav,1018,IWL,ANG,XX,16000,[125 168 187 ...   0   0   0]
1059_IEO_ANG_MD.wav,1059,IEO,ANG,MD,16000,[64 57 30 ...  3  1  0]
1054_MTI_DIS_XX.wav,1054,MTI,DIS,XX,16000,[-124 -103 -119 ...   -1   -1    0]
1041_MTI_DIS_XX.wav,1041,MTI,DIS,XX,16000,[-169 -180 -161 ...    0    0    0]
1048_IEO_ANG_HI.wav,1048,IEO,ANG,HI,16000,[ 6  9 -2 ...  1  1  1]
1042_ITS_SAD_XX.wav,1042,ITS,SAD,XX,16000,[ 93 118 172 ...  -1   0  -1]
1019_TAI_NEU_XX.wav,1019,TAI,NEU,XX,16000,[-126  -99 -107 ...    0    0    0]
1057_ITS_SAD_XX.wav,1057,ITS,SAD,XX,16000,[-21  26  24 ...   0   0   0]
1028_TSI_NEU_XX.wav,1028,TSI,NEU,XX,16000,[-213 -212 -204 ...    0    0    0]
1087_IOM_ANG_XX.wav,1087,IOM,ANG,XX,16000,[-211 -174 -160 ...   -1   -2   -2]
1039_IEO_HAP_LO.wav,1039,IEO,HAP,LO,16000,[97 79 95 ...  0  0  0]
1018_IEO_FEA_LO.wav,1018,IEO,FEA,LO,16000,[-49 -27 -19 ...  -1   0   0]
1079_DFA_NEU_XX.wav,1079,DFA,NEU,XX,16000,[-289 -314 -308 ...    0    0    0]
1063_IWW_DIS_XX.wav,1063,IWW,DIS,XX,16000,[275 296 310 ...   0   0   0]
1076_IWW_DIS_XX.wav,1076,IWW,DIS,XX,16000,[ 30 -21 -23 ...   1   0   0]
1068_WSI_HAP_XX.wav,1068,WSI,HAP,XX,16000,[140 161 116 ...   5   1  -2]
1049_WSI_FEA_XX.wav,1049,WSI,FEA,XX,16000,[-196 -210 -227 ...    0    0    0]
1059_ITH_DIS_XX.wav,1059,ITH,DIS,XX,16000,[-456 -329 -231 ...    0    0    0]
1068_DFA_HAP_XX.wav,1068,DFA,HAP,XX,16000,[ 7 35 19 ...  0  0  0]
1049_DFA_FEA_XX.wav,1049,DFA,FEA,XX,16000,[61 59 69 ...  0  0  0]
1079_WSI_NEU_XX.wav,1079,WSI,NEU,XX,16000,[-54 -12  17 ...  -1   0   0]
1082_IWW_ANG_XX.wav,1082,IWW,ANG,XX,16000,[-67 -66 -68 ...   0   0   0]
1061_ITH_NEU_XX.wav,1061,ITH,NEU,XX,16000,[89 80 16 ...  0  0  0]
1074_ITH_NEU_XX.wav,1074,ITH,NEU,XX,16000,[-286 -311 -303 ...    7   14  -14]
1023_ITH_ANG_XX.wav,1023,ITH,ANG,XX,16000,[74 88 83 ...  2  4  3]
1036_ITH_ANG_XX.wav,1036,ITH,ANG,XX,16000,[115 148 115 ...  -1  -1   0]
1005_IEO_DIS_LO.wav,1005,IEO,DIS,LO,16000,[  2  -9 -34 ...   0   0   0]
